FechaHora;Temp;Humedad;Gas;Ph;TempAmbiente;HumedadAmbiente
18/5/2025 16:00;26.14;72.58;0.00;5.46;19.19;65.00
18/5/2025 16:10;25.91;72.64;78.27;5.42;19.36;64.00
18/5/2025 16:20;26.24;71.09;79.97;5.41;19.10;64.00
18/5/2025 16:30;26.94;71.01;92.22;5.40;19.50;64.00
18/5/2025 16:40;27.31;73.79;77.80;5.36;19.38;65.00
18/5/2025 16:50;28.07;74.70;94.23;5.34;19.74;64.00
18/5/2025 17:00;27.96;70.82;66.14;5.31;19.39;65.00
18/5/2025 17:10;27.24;70.43;94.25;5.34;18.52;64.00
18/5/2025 17:20;26.75;69.63;76.32;5.31;18.93;65.00
18/5/2025 17:30;26.85;72.86;91.27;5.34;18.98;66.00
18/5/2025 17:40;27.57;71.32;83.36;5.32;19.31;67.00
18/5/2025 17:50;26.79;71.51;71.73;5.35;19.36;66.00
18/5/2025 18:00;26.76;69.56;97.27;5.34;18.30;68.00
18/5/2025 18:10;27.19;69.96;83.43;5.32;18.65;66.00
18/5/2025 18:20;27.30;68.85;80.31;5.30;18.50;67.00
18/5/2025 18:30;26.51;69.51;92.84;5.32;18.20;68.00
18/5/2025 18:40;26.98;71.29;84.23;5.37;18.19;69.00
18/5/2025 18:50;26.95;68.71;69.30;5.35;18.05;69.00
18/5/2025 19:00;27.40;90.36;64.39;5.32;9.70;69.00
18/5/2025 19:10;26.83;91.28;83.62;5.36;10.09;68.00
18/5/2025 19:20;26.13;88.59;65.86;5.34;10.94;67.00
18/5/2025 19:30;26.05;88.64;66.28;5.33;10.77;66.00
18/5/2025 19:40;25.26;88.51;93.19;5.32;9.86;66.00
18/5/2025 19:50;24.48;91.23;71.74;5.30;10.47;66.00
18/5/2025 20:00;25.26;90.52;74.50;5.36;9.85;65.00
18/5/2025 20:10;25.23;89.05;68.02;5.34;9.46;64.00
18/5/2025 20:20;24.38;110.00;84.26;5.33;8.78;63.00
18/5/2025 20:30;25.31;90.99;75.60;5.31;10.06;64.00
18/5/2025 20:40;24.57;88.57;97.79;5.34;10.00;64.00
18/5/2025 20:50;23.62;88.53;71.74;5.33;9.64;63.00
18/5/2025 21:00;23.27;90.59;70.96;5.32;8.62;64.00
18/5/2025 21:10;22.88;90.91;97.18;5.36;11.02;65.00
18/5/2025 21:20;21.99;88.52;85.05;5.33;11.47;63.00
18/5/2025 21:30;22.81;90.87;86.03;5.31;10.48;65.00
18/5/2025 21:40;23.10;90.03;83.34;5.35;11.36;64.00
18/5/2025 21:50;22.60;88.52;90.79;5.34;9.41;65.00
18/5/2025 22:00;21.85;89.37;66.55;5.34;9.40;67.00
18/5/2025 22:10;21.10;90.77;84.98;5.34;10.55;66.00
18/5/2025 22:20;21.94;88.71;65.37;5.31;10.17;67.00
18/5/2025 22:30;22.19;88.78;73.15;5.31;10.55;68.00
18/5/2025 22:40;22.40;88.99;68.58;5.36;11.16;69.00
18/5/2025 22:50;23.10;90.77;65.15;5.33;10.64;68.00
18/5/2025 23:00;23.05;89.39;93.05;5.31;11.09;67.00
18/5/2025 23:10;22.76;91.13;71.86;5.34;9.07;67.00
18/5/2025 23:20;22.27;89.66;90.41;5.32;10.01;67.00
18/5/2025 23:30;21.85;90.11;67.71;5.31;11.11;68.00
18/5/2025 23:40;21.13;89.01;78.74;5.36;8.71;67.00
18/5/2025 23:50;21.18;88.87;81.33;5.33;9.70;67.00
19/5/2025 0:00;20.15;81.58;50.89;5.32;11.08;78.00
19/5/2025 0:10;18.87;81.42;39.13;5.32;9.90;78.00
19/5/2025 0:20;18.29;82.24;43.15;5.30;9.09;77.00
19/5/2025 0:30;18.00;80.99;53.10;5.35;10.77;77.00
19/5/2025 0:40;18.00;80.75;28.17;5.32;10.50;78.00
19/5/2025 0:50;18.00;83.01;22.06;5.33;9.49;78.00
19/5/2025 1:00;18.00;83.17;54.32;5.32;9.84;77.00
19/5/2025 1:10;18.00;80.82;33.16;5.32;8.86;77.00
19/5/2025 1:20;18.00;83.32;42.93;5.32;8.90;77.00
19/5/2025 1:30;18.00;80.52;38.51;5.31;11.42;78.00
19/5/2025 1:40;18.00;82.07;48.94;5.31;9.18;77.00
19/5/2025 1:50;18.00;81.47;33.48;5.35;10.66;77.00
19/5/2025 2:00;18.00;82.03;49.27;5.34;10.60;77.00
19/5/2025 2:10;18.00;82.99;32.03;5.33;9.24;78.00
19/5/2025 2:20;18.00;80.40;50.03;5.31;10.16;79.00
19/5/2025 2:30;18.00;81.42;50.09;5.30;8.57;80.00
19/5/2025 2:40;18.00;82.06;40.14;5.36;11.18;81.00
19/5/2025 2:50;18.00;82.63;37.59;5.36;9.17;82.00
19/5/2025 3:00;18.00;83.16;25.50;5.36;10.64;80.00
19/5/2025 3:10;18.00;82.97;33.60;5.34;9.51;79.00
19/5/2025 3:20;18.00;81.20;28.80;5.32;9.75;78.00
19/5/2025 3:30;18.00;82.96;53.75;5.36;10.46;78.00
19/5/2025 3:40;18.00;81.09;41.16;5.36;8.60;76.00
19/5/2025 3:50;18.00;81.07;22.37;5.33;10.45;77.00
19/5/2025 4:00;18.00;85.11;23.30;5.30;9.85;77.00
19/5/2025 4:10;18.00;85.03;37.21;5.34;11.24;78.00
19/5/2025 4:20;18.00;86.01;51.71;5.33;9.51;79.00
19/5/2025 4:30;18.00;88.47;37.22;5.31;9.32;77.00
19/5/2025 4:40;18.00;85.03;26.35;5.31;9.90;76.00
19/5/2025 4:50;18.00;87.17;38.53;5.31;8.82;75.00
19/5/2025 5:00;18.00;85.44;48.81;5.38;10.01;76.00
19/5/2025 5:10;18.00;85.34;39.18;5.36;9.56;75.00
19/5/2025 5:20;18.00;85.15;40.75;5.35;11.19;75.00
19/5/2025 5:30;18.00;86.11;41.73;5.34;11.44;75.00
19/5/2025 5:40;18.00;85.68;28.00;5.32;8.79;76.00
19/5/2025 5:50;18.00;86.11;40.90;5.34;10.56;77.00
19/5/2025 6:00;18.00;88.41;50.88;5.32;11.01;78.00
19/5/2025 6:10;18.00;87.73;51.73;5.32;11.39;78.00
19/5/2025 6:20;18.00;86.18;53.99;5.30;10.92;79.00
19/5/2025 6:30;18.00;88.27;48.41;5.37;11.60;78.00
19/5/2025 6:40;18.00;86.70;23.87;5.34;10.77;79.00
19/5/2025 6:50;18.00;87.58;55.93;5.31;11.53;79.00
19/5/2025 7:00;18.00;110.00;48.63;5.33;12.11;78.00
19/5/2025 7:10;18.00;78.60;21.15;5.38;11.90;77.00
19/5/2025 7:20;18.00;80.85;25.16;5.37;11.87;76.00
19/5/2025 7:30;18.00;81.55;50.81;5.35;11.80;76.00
19/5/2025 7:40;18.00;81.19;32.58;5.34;11.80;75.00
19/5/2025 7:50;18.00;79.78;33.26;5.31;11.86;76.00
19/5/2025 8:00;18.00;80.35;55.41;5.35;13.99;75.00
19/5/2025 8:10;18.00;77.92;39.62;5.32;14.36;76.00
19/5/2025 8:20;18.00;79.77;54.69;5.31;13.31;76.00
19/5/2025 8:30;18.00;79.49;37.59;5.32;13.76;76.00
19/5/2025 8:40;18.00;80.18;26.14;5.33;14.12;76.00
19/5/2025 8:50;18.00;77.97;38.21;5.31;14.07;77.00
19/5/2025 9:00;18.00;74.90;49.05;5.33;14.32;77.00
19/5/2025 9:10;18.00;76.68;48.56;5.35;15.53;78.00
19/5/2025 9:20;18.00;76.40;0.00;5.32;15.34;77.00
19/5/2025 9:30;18.00;75.16;21.61;5.38;15.44;77.00
19/5/2025 9:40;18.00;76.67;40.14;5.34;15.39;78.00
19/5/2025 9:50;18.00;74.86;47.82;5.31;14.84;77.00
19/5/2025 10:00;18.00;73.29;36.76;5.36;16.06;77.00
19/5/2025 10:10;18.00;74.25;21.78;5.33;16.72;78.00
19/5/2025 10:20;18.00;73.59;27.02;5.31;16.65;78.00
19/5/2025 10:30;18.00;75.43;47.42;5.35;15.88;79.00
19/5/2025 10:40;18.00;75.52;47.13;5.31;16.06;79.00
19/5/2025 10:50;18.00;75.68;31.77;5.36;16.56;80.00
19/5/2025 11:00;18.00;74.08;48.14;5.34;16.84;81.00
19/5/2025 11:10;18.00;74.93;31.08;5.31;17.13;81.00
19/5/2025 11:20;18.00;73.23;51.61;5.36;16.70;81.00
19/5/2025 11:30;18.00;73.14;49.27;5.32;17.60;81.00
19/5/2025 11:40;18.00;71.73;25.94;5.31;17.16;82.00
19/5/2025 11:50;18.00;73.58;45.12;5.33;16.79;82.00
19/5/2025 12:00;18.00;73.12;52.11;5.32;17.85;81.00
19/5/2025 12:10;18.00;71.46;22.16;5.32;18.04;80.00
19/5/2025 12:20;18.00;71.10;21.26;5.31;18.13;80.00
19/5/2025 12:30;18.00;70.73;39.03;5.31;18.11;80.00
19/5/2025 12:40;18.00;72.73;44.17;5.31;17.72;80.00
19/5/2025 12:50;18.00;71.40;47.38;5.38;18.66;80.00
19/5/2025 13:00;18.00;71.08;36.68;5.34;19.45;80.00
19/5/2025 13:10;18.00;68.65;40.41;5.32;19.18;79.00
19/5/2025 13:20;18.00;70.00;21.16;5.36;19.48;79.00
19/5/2025 13:30;18.00;68.26;39.33;5.32;19.60;79.00
19/5/2025 13:40;18.00;68.80;49.45;5.33;19.68;81.00
19/5/2025 13:50;18.00;70.34;42.05;5.31;20.34;81.00
19/5/2025 14:00;18.00;69.73;27.46;5.37;20.86;82.00
19/5/2025 14:10;18.00;69.14;53.30;5.34;21.48;82.00
19/5/2025 14:20;18.00;67.55;44.84;5.32;21.36;81.00
19/5/2025 14:30;18.00;70.19;27.30;5.35;21.31;82.00
19/5/2025 14:40;18.00;68.58;36.96;5.34;20.67;81.00
19/5/2025 14:50;18.00;68.55;44.66;5.33;21.08;81.00
19/5/2025 15:00;18.00;66.45;39.10;5.31;20.33;81.00
19/5/2025 15:10;18.00;66.95;28.61;5.32;20.43;82.00
19/5/2025 15:20;18.00;67.65;23.85;5.31;20.74;83.00
19/5/2025 15:30;18.00;3.77;50.23;5.36;20.00;83.00
19/5/2025 15:40;18.00;66.10;32.08;5.33;19.84;84.00
19/5/2025 15:50;18.00;64.72;35.71;5.32;20.68;83.00
19/5/2025 16:00;18.00;65.54;36.51;5.31;19.82;82.00
19/5/2025 16:10;18.00;66.44;37.42;5.37;20.07;82.00
19/5/2025 16:20;18.00;63.95;41.11;5.36;19.43;81.00
19/5/2025 16:30;18.00;63.82;27.13;5.34;19.28;81.00
19/5/2025 16:40;18.00;66.46;39.86;5.30;19.52;83.00
19/5/2025 16:50;18.00;63.51;37.30;5.34;19.40;81.00
19/5/2025 17:00;18.00;62.03;29.71;5.32;19.01;81.00
19/5/2025 17:10;18.00;62.07;21.82;5.35;18.88;81.00
19/5/2025 17:20;18.00;63.54;48.15;5.33;19.13;82.00
19/5/2025 17:30;18.00;63.72;49.09;5.36;19.37;83.00
19/5/2025 17:40;18.00;61.17;35.93;5.34;19.32;84.00
19/5/2025 17:50;18.00;65.03;53.51;5.30;19.14;83.00
19/5/2025 18:00;18.00;61.26;37.12;5.37;17.89;85.00
19/5/2025 18:10;18.00;61.68;31.01;5.36;18.16;86.00
19/5/2025 18:20;18.00;60.72;21.65;5.35;18.40;85.00
19/5/2025 18:30;18.00;61.61;51.46;5.33;17.77;85.00
19/5/2025 18:40;18.00;60.21;51.54;5.31;18.50;86.00
19/5/2025 18:50;18.00;61.62;51.71;5.31;18.01;86.00
19/5/2025 19:00;18.00;80.95;45.47;5.36;9.45;87.00
19/5/2025 19:10;18.00;82.04;45.47;5.34;8.73;87.00
19/5/2025 19:20;18.00;82.87;45.85;5.31;8.78;86.00
19/5/2025 19:30;18.00;82.34;55.59;5.36;10.55;85.00
19/5/2025 19:40;18.00;83.34;33.70;5.34;10.02;86.00
19/5/2025 19:50;18.00;80.47;50.84;5.33;9.95;85.00
19/5/2025 20:00;18.00;80.49;31.97;5.33;11.32;85.00
19/5/2025 20:10;18.00;81.85;34.67;5.32;10.62;84.00
19/5/2025 20:20;18.00;81.40;39.40;5.30;11.15;85.00
19/5/2025 20:30;18.00;82.58;21.11;5.33;9.45;86.00
19/5/2025 20:40;18.00;82.53;44.69;5.32;11.15;85.00
19/5/2025 20:50;18.00;82.01;44.72;5.31;9.34;84.00
19/5/2025 21:00;18.00;83.35;43.06;5.34;8.60;85.00
19/5/2025 21:10;18.00;82.18;44.11;5.33;9.52;86.00
19/5/2025 21:20;18.00;80.56;29.97;5.31;11.20;85.00
19/5/2025 21:30;18.00;80.64;23.08;5.37;11.42;86.00
19/5/2025 21:40;18.00;81.94;55.26;5.35;9.89;87.00
19/5/2025 21:50;18.00;4.86;41.31;5.34;9.83;87.00
19/5/2025 22:00;18.00;81.84;45.27;5.33;10.06;86.00
19/5/2025 22:10;18.00;81.80;51.63;5.30;9.56;86.00
19/5/2025 22:20;18.00;82.08;50.72;5.32;11.34;85.00
19/5/2025 22:30;18.00;81.57;53.16;5.31;9.56;85.00
19/5/2025 22:40;18.00;81.75;25.75;5.30;8.98;85.00
19/5/2025 22:50;18.00;83.18;22.42;5.34;10.51;86.00
19/5/2025 23:00;18.00;80.65;52.65;5.33;8.98;85.00
19/5/2025 23:10;18.00;82.54;22.18;5.32;11.37;84.00
19/5/2025 23:20;18.00;82.93;39.07;5.31;10.19;85.00
19/5/2025 23:30;18.00;80.65;45.46;5.31;9.17;86.00
19/5/2025 23:40;18.00;83.14;21.34;5.30;10.77;85.00
19/5/2025 23:50;18.00;80.86;44.26;5.31;11.24;86.00
20/5/2025 0:00;18.00;91.62;78.35;5.34;10.20;79.00
20/5/2025 0:10;18.00;90.89;77.50;5.31;8.72;78.00
20/5/2025 0:20;18.00;91.80;45.57;5.37;8.81;77.00
20/5/2025 0:30;18.00;90.61;66.24;5.35;8.66;77.00
20/5/2025 0:40;18.25;90.11;68.27;5.34;10.61;77.00
20/5/2025 0:50;18.00;90.58;50.03;5.31;10.51;77.00
20/5/2025 1:00;18.71;89.74;77.55;5.31;10.19;77.00
20/5/2025 1:10;18.96;90.26;72.39;5.37;9.48;76.00
20/5/2025 1:20;19.84;90.26;79.52;5.36;8.90;77.00
20/5/2025 1:30;19.97;91.09;71.10;5.33;10.26;78.00
20/5/2025 1:40;19.91;92.36;51.75;5.32;8.57;77.00
20/5/2025 1:50;19.38;91.52;49.10;5.38;9.81;76.00
20/5/2025 2:00;19.59;92.32;76.78;5.36;11.39;77.00
20/5/2025 2:10;20.22;90.10;67.98;5.36;10.68;78.00
20/5/2025 2:20;20.99;90.00;66.37;5.34;8.51;77.00
20/5/2025 2:30;20.13;89.68;46.18;5.33;11.03;77.00
20/5/2025 2:40;20.14;90.37;52.82;5.32;10.82;77.00
20/5/2025 2:50;20.17;92.17;77.74;5.32;9.61;75.00
20/5/2025 3:00;20.89;92.28;61.54;5.30;9.86;74.00
20/5/2025 3:10;20.63;110.00;45.00;5.36;8.68;73.00
20/5/2025 3:20;21.36;90.41;51.86;5.34;11.13;72.00
20/5/2025 3:30;21.36;92.22;52.38;5.33;10.29;72.00
20/5/2025 3:40;20.37;91.21;71.97;5.30;8.73;70.00
20/5/2025 3:50;19.59;91.04;75.65;5.37;11.33;71.00
20/5/2025 4:00;18.83;95.20;69.76;5.55;11.19;71.00
20/5/2025 4:10;19.76;94.78;54.85;5.78;8.91;69.00
20/5/2025 4:20;18.93;94.88;79.86;6.10;8.70;68.00
20/5/2025 4:30;18.59;94.43;83.85;6.48;10.21;69.00
20/5/2025 4:40;19.50;94.40;134.11;6.91;8.96;71.00
20/5/2025 4:50;18.67;97.89;131.42;7.31;9.57;72.00
20/5/2025 5:00;18.36;96.69;130.49;7.53;8.64;70.00
20/5/2025 5:10;18.54;94.91;156.89;7.80;9.26;72.00
20/5/2025 5:20;18.00;96.16;89.94;8.24;8.62;72.00
20/5/2025 5:30;18.00;94.33;102.96;8.50;10.88;73.00
20/5/2025 5:40;18.00;96.43;81.61;8.50;10.71;72.00
20/5/2025 5:50;18.47;94.51;104.05;8.50;9.29;72.00
20/5/2025 6:00;18.89;95.13;88.47;8.50;11.89;73.00
20/5/2025 6:10;18.17;95.61;102.12;8.50;11.92;74.00
20/5/2025 6:20;18.43;96.85;107.98;8.50;10.80;75.00
20/5/2025 6:30;18.00;97.44;79.63;8.50;10.59;76.00
20/5/2025 6:40;18.00;94.59;95.08;8.50;11.16;75.00
20/5/2025 6:50;18.00;95.74;90.08;8.50;10.80;77.00
20/5/2025 7:00;18.83;110.00;92.11;8.48;13.10;77.00
20/5/2025 7:10;18.68;89.07;89.88;8.45;12.18;78.00
20/5/2025 7:20;18.70;89.24;83.07;8.44;12.27;78.00
20/5/2025 7:30;19.26;87.64;76.47;8.41;11.79;77.00
20/5/2025 7:40;18.81;87.65;109.65;8.39;12.60;77.00
20/5/2025 7:50;19.31;87.45;109.13;8.37;12.26;78.00
20/5/2025 8:00;19.38;88.05;80.34;8.33;13.37;77.00
20/5/2025 8:10;20.25;88.94;99.99;8.30;13.07;78.00
20/5/2025 8:20;19.71;89.21;75.13;8.29;14.38;78.00
20/5/2025 8:30;19.47;88.73;109.82;8.25;12.95;76.00
20/5/2025 8:40;19.67;88.22;90.44;8.23;13.26;76.00
20/5/2025 8:50;19.91;87.25;136.23;8.19;14.21;78.00
20/5/2025 9:00;19.44;86.90;140.99;8.17;15.41;78.00
20/5/2025 9:10;18.61;84.20;101.14;8.14;14.17;79.00
20/5/2025 9:20;18.01;85.34;155.12;8.13;14.92;79.00
20/5/2025 9:30;18.00;84.91;78.49;8.09;15.38;78.00
20/5/2025 9:40;18.59;85.13;128.99;8.05;14.17;78.00
20/5/2025 9:50;18.82;85.08;154.72;8.04;15.05;79.00
20/5/2025 10:00;18.95;83.43;109.76;8.02;15.47;78.00
20/5/2025 10:10;18.21;83.02;103.93;8.01;15.41;77.00
20/5/2025 10:20;18.72;82.64;97.04;7.99;16.39;79.00
20/5/2025 10:30;18.01;84.51;98.38;7.95;16.25;77.00
20/5/2025 10:40;18.00;85.65;154.47;7.91;15.94;77.00
20/5/2025 10:50;18.24;82.88;104.88;7.88;15.74;77.00
20/5/2025 11:00;18.16;84.60;103.27;7.86;17.09;76.00
20/5/2025 11:10;18.55;83.87;95.85;7.82;17.62;78.00
20/5/2025 11:20;19.23;82.71;81.26;7.79;16.73;79.00
20/5/2025 11:30;19.38;82.38;80.80;7.76;17.49;79.00
20/5/2025 11:40;20.06;83.73;84.76;7.75;16.71;79.00
20/5/2025 11:50;19.81;80.97;99.15;7.73;17.44;80.00
20/5/2025 12:00;20.35;81.91;93.88;7.70;19.19;82.00
20/5/2025 12:10;20.55;79.06;96.19;7.67;17.98;80.00
20/5/2025 12:20;21.46;79.14;100.78;7.66;18.63;81.00
20/5/2025 12:30;21.23;80.07;87.31;7.63;18.56;81.00
20/5/2025 12:40;21.23;79.28;107.44;7.61;18.44;80.00
20/5/2025 12:50;21.88;81.92;100.82;7.59;18.59;80.00
20/5/2025 13:00;21.87;80.22;109.48;7.56;20.36;80.00
20/5/2025 13:10;21.50;79.69;104.02;7.54;19.09;80.00
20/5/2025 13:20;21.24;79.11;100.08;7.50;19.61;80.00
20/5/2025 13:30;21.29;78.55;96.79;7.47;19.81;81.00
20/5/2025 13:40;21.83;78.66;96.08;7.44;19.23;80.00
20/5/2025 13:50;21.35;79.54;108.25;7.42;19.54;80.00
20/5/2025 14:00;21.49;78.80;99.79;7.40;21.00;81.00
20/5/2025 14:10;21.05;75.59;107.96;7.36;21.08;81.00
20/5/2025 14:20;21.24;79.27;109.68;7.33;21.53;81.00
20/5/2025 14:30;21.75;77.47;78.49;7.29;20.94;81.00
20/5/2025 14:40;22.04;77.20;87.74;7.26;20.88;83.00
20/5/2025 14:50;22.64;77.50;87.37;7.23;20.98;82.00
20/5/2025 15:00;23.59;110.00;144.86;7.20;19.81;82.00
20/5/2025 15:10;23.43;77.23;85.39;7.17;20.62;83.00
20/5/2025 15:20;24.02;76.87;91.80;7.14;20.74;84.00
20/5/2025 15:30;23.18;74.93;84.10;7.13;20.15;85.00
20/5/2025 15:40;23.10;76.67;87.01;7.10;20.56;84.00
20/5/2025 15:50;22.37;77.45;101.08;7.08;20.68;83.00
20/5/2025 16:00;23.18;72.70;81.71;7.04;20.10;84.00
20/5/2025 16:10;23.44;75.45;104.35;7.01;19.61;83.00
20/5/2025 16:20;24.15;75.04;104.87;6.99;19.95;84.00
20/5/2025 16:30;24.62;75.72;106.86;6.96;20.02;83.00
20/5/2025 16:40;24.62;76.07;105.14;6.95;19.85;83.00
20/5/2025 16:50;24.07;75.65;108.86;6.94;19.69;82.00
20/5/2025 17:00;23.74;70.45;79.24;6.92;18.58;81.00
20/5/2025 17:10;22.92;73.01;104.40;6.89;18.71;82.00
20/5/2025 17:20;22.54;74.09;97.63;6.86;19.18;81.00
20/5/2025 17:30;23.11;70.54;95.90;6.84;19.36;82.00
20/5/2025 17:40;23.65;71.45;79.78;6.81;19.08;82.00
20/5/2025 17:50;23.90;71.98;92.16;6.77;19.08;82.00
20/5/2025 18:00;23.38;71.20;81.19;6.75;18.23;81.00
20/5/2025 18:10;23.85;71.72;78.83;6.73;17.95;81.00
20/5/2025 18:20;22.94;71.67;100.17;6.71;18.12;81.00
20/5/2025 18:30;22.81;70.80;100.46;6.68;18.21;80.00
20/5/2025 18:40;23.22;71.38;98.16;6.66;17.71;78.00
20/5/2025 18:50;23.49;72.19;0.00;6.64;18.35;79.00
20/5/2025 19:00;23.67;90.70;78.49;6.64;8.64;79.00
20/5/2025 19:10;23.74;92.43;91.06;6.62;10.10;81.00
20/5/2025 19:20;24.09;92.09;86.97;6.59;11.15;81.00
20/5/2025 19:30;23.34;90.33;97.09;6.58;10.51;82.00
20/5/2025 19:40;22.62;90.77;107.50;6.56;9.87;83.00
20/5/2025 19:50;22.47;91.05;87.28;6.55;11.12;83.00
20/5/2025 20:00;22.86;90.10;109.57;6.54;9.18;83.00
20/5/2025 20:10;22.88;89.71;96.11;6.53;10.33;82.00
20/5/2025 20:20;22.88;90.27;99.32;6.51;11.49;82.00
20/5/2025 20:30;22.27;89.68;108.41;6.50;10.45;82.00
20/5/2025 20:40;23.13;91.25;94.95;6.50;9.70;83.00
20/5/2025 20:50;23.62;91.33;99.54;6.48;9.95;82.00
20/5/2025 21:00;24.13;91.94;93.54;6.47;11.38;82.00
20/5/2025 21:10;23.87;92.42;98.10;6.45;8.52;82.00
20/5/2025 21:20;24.65;90.79;102.74;6.43;9.68;83.00
20/5/2025 21:30;25.23;90.67;99.34;6.40;11.21;83.00
20/5/2025 21:40;24.44;90.62;100.00;6.39;11.22;83.00
20/5/2025 21:50;23.57;90.90;103.42;6.36;9.78;83.00
20/5/2025 22:00;23.81;91.75;93.37;6.35;8.93;84.00
20/5/2025 22:10;23.32;92.12;100.28;6.33;8.99;83.00
20/5/2025 22:20;23.20;90.75;108.08;6.31;11.04;83.00
20/5/2025 22:30;23.29;90.28;75.99;6.30;8.84;84.00
20/5/2025 22:40;23.59;90.36;91.33;6.29;9.00;84.00
20/5/2025 22:50;23.73;92.45;108.87;6.29;10.22;83.00
20/5/2025 23:00;23.52;90.86;79.84;6.27;11.46;83.00
20/5/2025 23:10;22.55;92.03;101.50;6.26;10.24;82.00
20/5/2025 23:20;21.60;90.30;108.25;6.25;10.86;82.00
20/5/2025 23:30;20.80;91.80;102.98;6.22;9.06;83.00
20/5/2025 23:40;20.40;89.86;104.03;6.20;11.43;82.00
20/5/2025 23:50;21.04;89.64;96.93;6.18;10.87;82.00
21/5/2025 0:00;20.14;86.41;85.08;6.17;11.23;69.00
21/5/2025 0:10;20.84;85.38;82.93;6.15;11.27;69.00
21/5/2025 0:20;20.93;84.22;80.53;6.13;10.70;70.00
21/5/2025 0:30;21.79;85.39;85.55;6.12;8.87;70.00
21/5/2025 0:40;21.77;85.98;77.90;6.10;9.61;68.00
21/5/2025 0:50;21.33;84.82;75.21;6.08;9.28;69.00
21/5/2025 1:00;21.06;83.77;87.37;6.08;9.83;71.00
21/5/2025 1:10;20.23;84.94;76.90;6.06;8.95;72.00
21/5/2025 1:20;19.40;83.96;89.41;6.05;10.56;70.00
21/5/2025 1:30;18.68;85.17;90.06;6.04;11.26;70.00
21/5/2025 1:40;19.12;86.20;97.48;6.03;9.72;70.00
21/5/2025 1:50;18.37;84.86;85.79;6.02;9.17;69.00
21/5/2025 2:00;18.34;86.41;108.43;6.01;10.37;69.00
21/5/2025 2:10;18.00;86.13;96.77;6.00;9.82;68.00
21/5/2025 2:20;18.00;84.53;68.91;5.98;8.89;69.00
21/5/2025 2:30;18.00;85.26;61.09;5.97;8.67;68.00
21/5/2025 2:40;18.00;85.66;49.19;5.95;11.12;69.00
21/5/2025 2:50;18.00;84.25;51.50;5.92;9.85;69.00
21/5/2025 3:00;18.00;85.52;78.61;5.90;8.72;68.00
21/5/2025 3:10;18.00;84.97;78.46;5.88;11.39;67.00
21/5/2025 3:20;18.00;86.20;64.68;5.87;10.14;66.00
21/5/2025 3:30;18.00;83.51;0.00;5.86;9.41;67.00
21/5/2025 3:40;18.72;85.65;56.62;5.85;10.09;68.00
